T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
2.75,-1.0,35.097453601654166,3.572493583003546,-1.0,41.0,-2.5731087301386637,20.0,25.07743833613974,-3.707110595321655,0.23991266445590542,10.097670924117192,False
2.75,0.0,59.13157943756912,4.63706723293424,0.0,40.0,-4.1098174554358655,20.00000000000001,25.429061818181815,-4.399442428694954,0.8413010145535381,12.982719759579252,False
2.75,1.0,92.32156273478569,5.794089864517454,1.0,39.0,-5.681065933838807,20.000000000000007,25.925925925925924,-5.121483129508794,1.5300128713718715,15.867768595041298,False
2.75,2.0,134.66740349330212,6.9978543073327355,1.9999999999999858,38.000000000000014,-7.270273941655544,19.999999999999993,26.491331972970364,-5.857920338803821,2.2506399201016327,18.752817430503356,False
2.75,3.0,186.16910171312085,8.22787063391298,3.0,37.00000000000001,-8.869902991482938,20.0,27.09351932056757,-6.602380944439076,2.9863791943265423,21.637866265965414,False
2.75,4.0,246.82665739424368,9.473919365466509,4.0,35.99999999999999,-10.476086048415167,20.00000000000003,27.717550682997537,-7.351759767089651,3.7304434957272092,24.52291510142747,False
2.75,5.0,316.6400705366599,10.73041675945127,4.999999999999986,35.00000000000001,-12.08664862828034,20.0,28.35556585426407,-8.104367693702507,4.479575391987129,27.407963936889534,False
2.75,6.0,395.6093411403849,11.99407946583927,5.999999999999957,34.00000000000004,-13.70027838399107,19.99999999999997,29.00305595432028,-8.859208445870749,5.232018930146785,30.293012772351574,False
2.75,7.0,483.7344692054012,13.262859546395664,6.999999999999972,33.000000000000014,-15.316137919472322,20.0,29.657256060751454,-9.615656863239895,5.98674466551197,33.178061607813646,False
2.75,8.0,581.0154547317262,14.535416993508413,7.999999999999972,32.00000000000003,-16.933668393141524,20.0,30.316378837547838,-10.373301008490776,6.743109432332788,36.06311044327566,False
2.75,9.0,687.4522977193516,15.810839753666718,8.999999999999986,31.000000000000014,-18.552482872978697,20.000000000000043,30.97921858500948,-11.131858486386466,7.500690820783703,38.94815927873775,False
2.75,10.0,803.0449981682848,17.088486269131195,9.999999999999986,30.000000000000007,-20.172305092922155,20.00000000000003,31.644932905341058,-11.891129272443656,8.259200002419156,41.83320811419978,False
